State,amountPerPupil
New York,24040
Connecticut,20635
New Jersey,20021
Alaska,17726
Massachusetts,17058
New Hampshire,16893
Pennsylvania,16395
Wyoming,16224
Rhode Island,16121
Illinois,15741
Delaware,15639
Hawaii,15242
Maryland,14762
Maine,14145
North Dakota,13758
Ohio,13027
Washington,12995
Minnesota,12975
California,12498
Nebraska,12491
Michigan,12345
Wisconsin,12285
Virginia,12216
Oregon,11920
Iowa,11732
Montana,11680
Kansas,11653
Louisiana,11452
West Virginia,11334
Kentucky,11110
South Carolina,10856
Missouri,10810
Georgia,10810
Indiana,10262
Colorado,10202
Arkansas,10139
South Dakota,10073
Alabama,9696
Texas,9606
New Mexico,9582
Tennessee,9544
Nevada,9417
North Carolina,9377
Florida,9346
Vermont,9340
Mississippi,8935
Oklahoma,8239
Arizona,8239
Idaho,7771
Utah,7628
