State,salary
Alabama,"52,009"
Alaska,"70,277"
Arizona,"50,353"
Arkansas,"49,438"
California,"82,746"
Colorado,"54,935"
Connecticut,"76,465"
Delaware,"63,662"
District of Columbia,"78,477"
Florida,"48,314"
Georgia,"57,095"
Hawaii,"63,201"
Idaho,"50,755"
Illinois,"67,049"
Indiana,"51,119"
Iowa,"57,489"
Kansas,"51,082"
Kentucky,"53,434"
Louisiana,"50,288"
Maine,"54,048"
Maryland,"70,463"
Massachusetts,"82,313"
Michigan,"62,170"
Minnesota,"58,221"
Mississippi,"45,105"
Missouri,"50,019"
Montana,"50,721"
Nebraska,"54,470"
Nevada,"55,950"
New Hampshire,"59,198"
New Jersey,"74,760"
New Mexico,"47,826"
New York,"85,479"
North Carolina,"53,940"
North Dakota,"52,845"
Ohio,"59,713"
Oklahoma,"52,397"
Oregon,"65,125"
Pennsylvania,"68,930"
Rhode Island,"74,389"
South Carolina,"50,882"
South Dakota,"48,204"
Tennessee,"51,349"
Texas,"54,121"
Utah,"51,858"
Vermont,"60,672"
Virginia,"54,986"
Washington,"73,049"
West Virginia,"47,681"
Wisconsin,"58,277"
Wyoming,"58,861"
